english,Taiwan,China
library,函式庫,庫
package,(封裝),包
adapter,配接器,适配器
register,暂存器,寄存器
algorithm,演算法,算法
array,陣列,數組
binding,綁,绑定
bit,位元,位
boolean,布林值,布尔值
byte,位元組,字节
cache,快取,缓存
call,呼叫,调用
callback,回呼,回调
chain,串鏈,链
class,類別,类
concrete,具象的,实在的
context,背景關係,上下文
control,控制元件,控件
constructor,建構式,构造函数
data,資料,数据
debug,除錯,调试
declaration,宣告,声明
default,預設,缺省
destructor,解構式,析构函数
document,文件,文档
entity,物體,实体
enumeration,列舉,枚举
exception,異常情況,异常
exit,退離,退出
export,匯出,导出
expression,運算式,表达式
field,欄位,字段
file,檔案,文件
firmware,韌體,固件
flush,掃清,刷新
function,函式,函数
global,全域性,全局
hardware,硬體,硬件
hard disk,硬碟,硬盘
heap,堆積,堆
identifier,識別符號,标识符
implement,實作,实现
import,匯入,导入
inline,行內,内联
instance,實體,实例
invoke,喚起,调用
linker,聯結器,连接器
list,串列,列表
local,區域性,局部
macro,巨集,宏
memory,記憶體,内存
menu,選單,菜單
message,訊息,消息
mouse,滑鼠,鼠标
object,物件,对象
operand,運算元,操作数
operator,運算子,运算符
overflow,上限溢位,溢出
override,改寫,覆盖
partition,分割槽,分区
pattern,樣式,模式
pointer,指標,指针
polymorphism,多型,多态
preprocessor,前處理器,预处理器
procedure,程序,过程
process,行程,进程
program,程式,程序
project,專案,项目
queue,佇列,队列
refer,取用,参考
resolve,決議,解析
resolution,解析度,分辨率
return,傳回,返回
save,儲存,存储
semantics,語意,语义
software,軟體,软件
source,原始碼,源码
stack,堆疊,堆栈
statement,陳述句,语句
string,字串,字符串
target,標的,目标
thread,執行緒,线程
throw,丟擲,抛出
type,型別,类型
variable,變數,变量
window,視窗,窗口
command line,命令列,命令行
