English,Taiwan,China
library,函式庫,庫
package,(封裝),包
adapter,配接器,適配器
register,暫存器,寄存器
algorithm,演算法,算法
array,陣列,數組
binding,綁,绑定
bit,位元,位
boolean,布林值,布爾值
byte,位元組,字節
cache,快取,緩存
call,呼叫,調用
callback,(回呼),回調
chain,串鏈,鏈
class,類別,類
control,控制元件,控件
constructor,建構子,構造函数
data,資料,數據
debug,除錯,調試
declaration,宣告,聲明
default,預設,缺省
destructor,解構子,析構函数
document,文件,文檔
entity,(物體),實體
enumeration,列舉,枚舉
export,匯出,導出
expression,運算式,表達式
field,欄位,字段
file,檔案,文件
firmware,韌體,固件
flush,掃清,刷新
global,全域,全局
hardware,硬體,硬件
hard disk,硬碟,硬盤
heap,堆積,堆
identifier,識別符號,標識符
implement,實作,實現
import,匯入,導入
inline,行內,内聯
instance,實體,實例
invoke,喚起,調用
list,串列,列表
local,區域,局部
macro,巨集,宏
memory,記憶體,内存
menu,選單,菜單
message,訊息,消息
mouse,滑鼠,鼠標
object,物件,對象
operand,運算元,操作數
operator,運算子,運算符
overflow,上限溢位,溢出
pattern,樣式,模式
pointer,指標,指針
polymorphism,多型,多態
preprocessor,前處理器,預處理器
procedure,程序,過程
process,行程,進程
program,程式,程序
project,專案,項目
queue,佇列,隊列
refer,取用,参考
resolution,解析度,分辨率
return,傳回,返回
save,儲存,存儲
semantics,語意,语義
software,軟體,軟件
source,原始碼,源碼
stack,堆疊,堆棧
statement,陳述句,語句
string,字串,字符串
target,標的,目標
thread,執行緒,線程
type,型別,類型
variable,變數,變量
window,視窗,窗口
command line,命令列,命令行
